# Bombaci-Logoteta BBL delta=2 table.
# Source: http://arxiv.org/abs/1805.11846
#
# Columns:
#   n         epsilon     P          xp        xe
#   fm^-3     MeV/fm^3   MeV/fm^3   1         1
8.0000E-02 7.5865E+01 5.1139E-01 3.403E-02 3.403E-02
8.5701E-02 8.1311E+01 6.0107E-01 3.512E-02 3.512E-02
9.1402E-02 8.6763E+01 7.0203E-01 3.624E-02 3.624E-02
9.7103E-02 9.2222E+01 8.1505E-01 3.738E-02 3.738E-02
1.0280E-01 9.7688E+01 9.4093E-01 3.855E-02 3.855E-02
1.0850E-01 1.0316E+02 1.0804E+00 3.975E-02 3.975E-02
1.1421E-01 1.0864E+02 1.2343E+00 4.098E-02 4.098E-02
1.1991E-01 1.1413E+02 1.4033E+00 4.223E-02 4.223E-02
1.2561E-01 1.1963E+02 1.5862E+00 4.370E-02 4.343E-02
1.3131E-01 1.2513E+02 1.7821E+00 4.551E-02 4.456E-02
1.3701E-01 1.3065E+02 1.9930E+00 4.748E-02 4.564E-02
1.4271E-01 1.3617E+02 2.2198E+00 4.955E-02 4.672E-02
1.4841E-01 1.4171E+02 2.4635E+00 5.169E-02 4.778E-02
1.5411E-01 1.4725E+02 2.7246E+00 5.389E-02 4.884E-02
1.5981E-01 1.5280E+02 3.0039E+00 5.612E-02 4.990E-02
1.6551E-01 1.5836E+02 3.3018E+00 5.839E-02 5.096E-02
1.7121E-01 1.6394E+02 3.6191E+00 6.069E-02 5.202E-02
1.7692E-01 1.6952E+02 3.9563E+00 6.301E-02 5.308E-02
1.8262E-01 1.7512E+02 4.3139E+00 6.535E-02 5.415E-02
1.8832E-01 1.8073E+02 4.6924E+00 6.771E-02 5.522E-02
1.9402E-01 1.8634E+02 5.0924E+00 7.008E-02 5.629E-02
1.9972E-01 1.9198E+02 5.5144E+00 7.246E-02 5.737E-02
2.0542E-01 1.9762E+02 5.9588E+00 7.485E-02 5.845E-02
2.1112E-01 2.0328E+02 6.4262E+00 7.726E-02 5.953E-02
2.1682E-01 2.0894E+02 6.9169E+00 7.967E-02 6.062E-02
2.2252E-01 2.1463E+02 7.4315E+00 8.209E-02 6.172E-02
2.2822E-01 2.2032E+02 7.9704E+00 8.451E-02 6.281E-02
2.3393E-01 2.2603E+02 8.5339E+00 8.694E-02 6.391E-02
2.3963E-01 2.3176E+02 9.1225E+00 8.938E-02 6.502E-02
2.4533E-01 2.3749E+02 9.7367E+00 9.182E-02 6.612E-02
2.5103E-01 2.4325E+02 1.0377E+01 9.426E-02 6.723E-02
2.5673E-01 2.4901E+02 1.1043E+01 9.670E-02 6.834E-02
2.6243E-01 2.5480E+02 1.1736E+01 9.915E-02 6.946E-02
2.6813E-01 2.6059E+02 1.2456E+01 1.016E-01 7.057E-02
2.7383E-01 2.6641E+02 1.3204E+01 1.040E-01 7.169E-02
2.7953E-01 2.7224E+02 1.3979E+01 1.065E-01 7.281E-02
2.8523E-01 2.7808E+02 1.4782E+01 1.089E-01 7.393E-02
2.9093E-01 2.8394E+02 1.5614E+01 1.114E-01 7.506E-02
2.9664E-01 2.8982E+02 1.6474E+01 1.138E-01 7.618E-02
3.0234E-01 2.9572E+02 1.7364E+01 1.163E-01 7.730E-02
3.0804E-01 3.0163E+02 1.8283E+01 1.187E-01 7.843E-02
3.1374E-01 3.0756E+02 1.9231E+01 1.212E-01 7.955E-02
3.1944E-01 3.1351E+02 2.0210E+01 1.236E-01 8.067E-02
3.2514E-01 3.1947E+02 2.1219E+01 1.260E-01 8.180E-02
3.3084E-01 3.2545E+02 2.2259E+01 1.285E-01 8.292E-02
3.3654E-01 3.3145E+02 2.3330E+01 1.309E-01 8.404E-02
3.4224E-01 3.3747E+02 2.4432E+01 1.333E-01 8.516E-02
3.4794E-01 3.4351E+02 2.5565E+01 1.357E-01 8.628E-02
3.5364E-01 3.4957E+02 2.6730E+01 1.381E-01 8.740E-02
3.5935E-01 3.5564E+02 2.7928E+01 1.405E-01 8.851E-02
3.6505E-01 3.6174E+02 2.9157E+01 1.429E-01 8.962E-02
3.7075E-01 3.6785E+02 3.0420E+01 1.453E-01 9.073E-02
3.7645E-01 3.7399E+02 3.1715E+01 1.477E-01 9.184E-02
3.8215E-01 3.8014E+02 3.3043E+01 1.501E-01 9.295E-02
3.8785E-01 3.8631E+02 3.4405E+01 1.524E-01 9.405E-02
3.9355E-01 3.9251E+02 3.5801E+01 1.548E-01 9.515E-02
3.9925E-01 3.9872E+02 3.7231E+01 1.571E-01 9.624E-02
4.0495E-01 4.0496E+02 3.8695E+01 1.595E-01 9.733E-02
4.1065E-01 4.1121E+02 4.0194E+01 1.618E-01 9.842E-02
4.1636E-01 4.1749E+02 4.1727E+01 1.641E-01 9.950E-02
4.2206E-01 4.2379E+02 4.3296E+01 1.664E-01 1.006E-01
4.2776E-01 4.3011E+02 4.4900E+01 1.687E-01 1.017E-01
4.3346E-01 4.3645E+02 4.6539E+01 1.710E-01 1.027E-01
4.3916E-01 4.4281E+02 4.8215E+01 1.733E-01 1.038E-01
4.4486E-01 4.4920E+02 4.9926E+01 1.755E-01 1.048E-01
4.5056E-01 4.5561E+02 5.1674E+01 1.778E-01 1.059E-01
4.5626E-01 4.6204E+02 5.3459E+01 1.800E-01 1.070E-01
4.6196E-01 4.6849E+02 5.5281E+01 1.823E-01 1.080E-01
4.6766E-01 4.7496E+02 5.7140E+01 1.845E-01 1.090E-01
4.7336E-01 4.8146E+02 5.9036E+01 1.867E-01 1.101E-01
4.7907E-01 4.8798E+02 6.0970E+01 1.889E-01 1.111E-01
4.8477E-01 4.9453E+02 6.2942E+01 1.910E-01 1.121E-01
4.9047E-01 5.0110E+02 6.4953E+01 1.932E-01 1.131E-01
4.9617E-01 5.0769E+02 6.7002E+01 1.954E-01 1.142E-01
5.0187E-01 5.1430E+02 6.9090E+01 1.975E-01 1.152E-01
5.0757E-01 5.2094E+02 7.1217E+01 1.996E-01 1.162E-01
5.1327E-01 5.2760E+02 7.3383E+01 2.017E-01 1.172E-01
5.1897E-01 5.3429E+02 7.5589E+01 2.038E-01 1.181E-01
5.2467E-01 5.4100E+02 7.7835E+01 2.059E-01 1.191E-01
5.3037E-01 5.4774E+02 8.0120E+01 2.080E-01 1.201E-01
5.3607E-01 5.5450E+02 8.2447E+01 2.101E-01 1.211E-01
5.4178E-01 5.6129E+02 8.4814E+01 2.121E-01 1.220E-01
5.4748E-01 5.6810E+02 8.7222E+01 2.141E-01 1.230E-01
5.5318E-01 5.7494E+02 8.9671E+01 2.162E-01 1.239E-01
5.5888E-01 5.8180E+02 9.2162E+01 2.182E-01 1.249E-01
5.6458E-01 5.8868E+02 9.4695E+01 2.202E-01 1.258E-01
5.7028E-01 5.9560E+02 9.7270E+01 2.221E-01 1.267E-01
5.7598E-01 6.0254E+02 9.9887E+01 2.241E-01 1.277E-01
5.8168E-01 6.0950E+02 1.0255E+02 2.260E-01 1.286E-01
5.8738E-01 6.1650E+02 1.0525E+02 2.280E-01 1.295E-01
5.9308E-01 6.2351E+02 1.0800E+02 2.299E-01 1.304E-01
5.9879E-01 6.3056E+02 1.1078E+02 2.318E-01 1.313E-01
6.0449E-01 6.3763E+02 1.1362E+02 2.337E-01 1.322E-01
6.1019E-01 6.4473E+02 1.1649E+02 2.356E-01 1.331E-01
6.1589E-01 6.5185E+02 1.1942E+02 2.374E-01 1.339E-01
6.2159E-01 6.5901E+02 1.2238E+02 2.393E-01 1.348E-01
6.2729E-01 6.6619E+02 1.2539E+02 2.411E-01 1.357E-01
6.3299E-01 6.7340E+02 1.2845E+02 2.429E-01 1.365E-01
6.3869E-01 6.8063E+02 1.3155E+02 2.447E-01 1.374E-01
6.4439E-01 6.8789E+02 1.3470E+02 2.465E-01 1.382E-01
6.5009E-01 6.9519E+02 1.3789E+02 2.483E-01 1.391E-01
6.5579E-01 7.0251E+02 1.4113E+02 2.501E-01 1.399E-01
6.6150E-01 7.0985E+02 1.4442E+02 2.518E-01 1.407E-01
6.6720E-01 7.1723E+02 1.4775E+02 2.536E-01 1.415E-01
6.7290E-01 7.2464E+02 1.5113E+02 2.553E-01 1.424E-01
6.7860E-01 7.3207E+02 1.5456E+02 2.570E-01 1.432E-01
6.8430E-01 7.3953E+02 1.5803E+02 2.587E-01 1.440E-01
6.9000E-01 7.4702E+02 1.6156E+02 2.604E-01 1.447E-01
6.9570E-01 7.5455E+02 1.6513E+02 2.620E-01 1.455E-01
7.0140E-01 7.6210E+02 1.6875E+02 2.637E-01 1.463E-01
7.0710E-01 7.6968E+02 1.7242E+02 2.653E-01 1.471E-01
7.1280E-01 7.7729E+02 1.7614E+02 2.669E-01 1.478E-01
7.1850E-01 7.8493E+02 1.7990E+02 2.685E-01 1.486E-01
7.2421E-01 7.9260E+02 1.8372E+02 2.701E-01 1.494E-01
7.2991E-01 8.0030E+02 1.8759E+02 2.717E-01 1.501E-01
7.3561E-01 8.0803E+02 1.9151E+02 2.733E-01 1.508E-01
7.4131E-01 8.1579E+02 1.9548E+02 2.749E-01 1.516E-01
7.4701E-01 8.2359E+02 1.9950E+02 2.764E-01 1.523E-01
7.5271E-01 8.3141E+02 2.0357E+02 2.779E-01 1.530E-01
7.5841E-01 8.3926E+02 2.0769E+02 2.794E-01 1.537E-01
7.6411E-01 8.4715E+02 2.1186E+02 2.810E-01 1.544E-01
7.6981E-01 8.5507E+02 2.1609E+02 2.824E-01 1.551E-01
7.7551E-01 8.6301E+02 2.2037E+02 2.839E-01 1.558E-01
7.8121E-01 8.7099E+02 2.2470E+02 2.854E-01 1.565E-01
7.8692E-01 8.7901E+02 2.2908E+02 2.868E-01 1.572E-01
7.9262E-01 8.8705E+02 2.3352E+02 2.883E-01 1.579E-01
7.9832E-01 8.9513E+02 2.3801E+02 2.897E-01 1.586E-01
8.0402E-01 9.0323E+02 2.4255E+02 2.911E-01 1.592E-01
8.0972E-01 9.1137E+02 2.4715E+02 2.925E-01 1.599E-01
8.1542E-01 9.1955E+02 2.5181E+02 2.939E-01 1.605E-01
8.2112E-01 9.2775E+02 2.5651E+02 2.953E-01 1.612E-01
8.2682E-01 9.3599E+02 2.6128E+02 2.967E-01 1.618E-01
8.3252E-01 9.4426E+02 2.6609E+02 2.980E-01 1.625E-01
8.3822E-01 9.5257E+02 2.7097E+02 2.994E-01 1.631E-01
8.4393E-01 9.6091E+02 2.7590E+02 3.007E-01 1.637E-01
8.4963E-01 9.6928E+02 2.8088E+02 3.020E-01 1.644E-01
8.5533E-01 9.7768E+02 2.8592E+02 3.034E-01 1.650E-01
8.6103E-01 9.8612E+02 2.9102E+02 3.047E-01 1.656E-01
8.6673E-01 9.9460E+02 2.9618E+02 3.059E-01 1.662E-01
8.7243E-01 1.0031E+03 3.0139E+02 3.072E-01 1.668E-01
8.7813E-01 1.0116E+03 3.0666E+02 3.085E-01 1.674E-01
8.8383E-01 1.0202E+03 3.1199E+02 3.097E-01 1.680E-01
8.8953E-01 1.0288E+03 3.1738E+02 3.110E-01 1.685E-01
8.9523E-01 1.0375E+03 3.2282E+02 3.122E-01 1.691E-01
9.0093E-01 1.0462E+03 3.2833E+02 3.134E-01 1.697E-01
9.0664E-01 1.0549E+03 3.3389E+02 3.147E-01 1.703E-01
9.1234E-01 1.0636E+03 3.3951E+02 3.159E-01 1.708E-01
9.1804E-01 1.0724E+03 3.4519E+02 3.170E-01 1.714E-01
9.2374E-01 1.0812E+03 3.5093E+02 3.182E-01 1.719E-01
9.2944E-01 1.0901E+03 3.5673E+02 3.194E-01 1.725E-01
9.3514E-01 1.0990E+03 3.6260E+02 3.206E-01 1.730E-01
9.4084E-01 1.1079E+03 3.6852E+02 3.217E-01 1.736E-01
9.4654E-01 1.1169E+03 3.7450E+02 3.228E-01 1.741E-01
9.5224E-01 1.1259E+03 3.8055E+02 3.240E-01 1.746E-01
9.5794E-01 1.1349E+03 3.8665E+02 3.251E-01 1.752E-01
9.6364E-01 1.1440E+03 3.9282E+02 3.262E-01 1.757E-01
9.6935E-01 1.1531E+03 3.9905E+02 3.273E-01 1.762E-01
9.7505E-01 1.1622E+03 4.0534E+02 3.284E-01 1.767E-01
9.8075E-01 1.1714E+03 4.1170E+02 3.295E-01 1.772E-01
9.8645E-01 1.1806E+03 4.1812E+02 3.306E-01 1.777E-01
9.9215E-01 1.1899E+03 4.2460E+02 3.316E-01 1.782E-01
9.9785E-01 1.1992E+03 4.3114E+02 3.327E-01 1.787E-01
1.0036E+00 1.2085E+03 4.3775E+02 3.337E-01 1.792E-01
1.0093E+00 1.2179E+03 4.4443E+02 3.348E-01 1.797E-01
1.0150E+00 1.2273E+03 4.5116E+02 3.358E-01 1.802E-01
1.0207E+00 1.2368E+03 4.5796E+02 3.368E-01 1.806E-01
1.0264E+00 1.2462E+03 4.6483E+02 3.378E-01 1.811E-01
1.0321E+00 1.2558E+03 4.7176E+02 3.388E-01 1.816E-01
1.0378E+00 1.2653E+03 4.7876E+02 3.398E-01 1.820E-01
1.0435E+00 1.2749E+03 4.8582E+02 3.408E-01 1.825E-01
1.0492E+00 1.2846E+03 4.9295E+02 3.418E-01 1.829E-01
1.0549E+00 1.2942E+03 5.0015E+02 3.427E-01 1.834E-01
1.0606E+00 1.3040E+03 5.0741E+02 3.437E-01 1.838E-01
1.0663E+00 1.3137E+03 5.1474E+02 3.446E-01 1.843E-01
1.0720E+00 1.3235E+03 5.2214E+02 3.456E-01 1.847E-01
1.0777E+00 1.3333E+03 5.2960E+02 3.465E-01 1.852E-01
1.0834E+00 1.3432E+03 5.3713E+02 3.474E-01 1.856E-01
1.0891E+00 1.3531E+03 5.4473E+02 3.484E-01 1.860E-01
1.0948E+00 1.3631E+03 5.5240E+02 3.493E-01 1.864E-01
1.1005E+00 1.3731E+03 5.6013E+02 3.502E-01 1.869E-01
1.1062E+00 1.3831E+03 5.6794E+02 3.511E-01 1.873E-01
1.1119E+00 1.3932E+03 5.7581E+02 3.519E-01 1.877E-01
1.1176E+00 1.4033E+03 5.8375E+02 3.528E-01 1.881E-01
1.1233E+00 1.4135E+03 5.9176E+02 3.537E-01 1.885E-01
1.1290E+00 1.4237E+03 5.9985E+02 3.546E-01 1.889E-01
1.1347E+00 1.4339E+03 6.0800E+02 3.554E-01 1.893E-01
1.1404E+00 1.4442E+03 6.1622E+02 3.563E-01 1.897E-01
1.1461E+00 1.4545E+03 6.2451E+02 3.571E-01 1.901E-01
1.1518E+00 1.4649E+03 6.3288E+02 3.580E-01 1.905E-01
1.1575E+00 1.4753E+03 6.4131E+02 3.588E-01 1.909E-01
1.1632E+00 1.4857E+03 6.4982E+02 3.596E-01 1.913E-01
1.1689E+00 1.4962E+03 6.5840E+02 3.604E-01 1.916E-01
1.1746E+00 1.5067E+03 6.6705E+02 3.612E-01 1.920E-01
1.1803E+00 1.5173E+03 6.7577E+02 3.620E-01 1.924E-01
1.1860E+00 1.5279E+03 6.8457E+02 3.628E-01 1.928E-01
1.1917E+00 1.5386E+03 6.9343E+02 3.636E-01 1.931E-01
1.1974E+00 1.5493E+03 7.0237E+02 3.644E-01 1.935E-01
1.2031E+00 1.5600E+03 7.1139E+02 3.652E-01 1.939E-01
1.2088E+00 1.5708E+03 7.2047E+02 3.659E-01 1.942E-01
1.2145E+00 1.5816E+03 7.2964E+02 3.667E-01 1.946E-01
1.2202E+00 1.5925E+03 7.3887E+02 3.675E-01 1.949E-01
1.2259E+00 1.6034E+03 7.4818E+02 3.682E-01 1.953E-01
1.2316E+00 1.6144E+03 7.5756E+02 3.690E-01 1.956E-01
1.2373E+00 1.6254E+03 7.6702E+02 3.697E-01 1.959E-01
1.2430E+00 1.6364E+03 7.7656E+02 3.704E-01 1.963E-01
1.2487E+00 1.6475E+03 7.8617E+02 3.712E-01 1.966E-01
1.2544E+00 1.6586E+03 7.9585E+02 3.719E-01 1.970E-01
1.2601E+00 1.6698E+03 8.0561E+02 3.726E-01 1.973E-01
1.2658E+00 1.6810E+03 8.1545E+02 3.733E-01 1.976E-01
1.2715E+00 1.6923E+03 8.2536E+02 3.740E-01 1.979E-01
1.2772E+00 1.7036E+03 8.3535E+02 3.747E-01 1.983E-01
1.2829E+00 1.7150E+03 8.4542E+02 3.754E-01 1.986E-01
1.2886E+00 1.7264E+03 8.5556E+02 3.761E-01 1.989E-01
1.2943E+00 1.7378E+03 8.6578E+02 3.768E-01 1.992E-01
1.3000E+00 1.7493E+03 8.7608E+02 3.774E-01 1.995E-01
